Emotions,Path
Anger,Datasets\ESD\0016\Angry\0016_000580.wav
Neutral,Datasets\ASVP\ASVP5\03-01-02-01-50-56-02-02-02.wav
Happiness,Datasets\ASVP\ASVP5\03-01-03-01-14-92-02-02-02-33.wav
Surprise,Datasets\ESD\0014\Surprise\0014_001454.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000188.wav
Neutral,Datasets\ESD\0019\Neutral\0019_000057.wav
Sadness,Datasets\CREMA-D\1059_IEO_SAD_HI.wav
Disgust,Datasets\ASVP\ASVP5\03-01-07-01-29-114-02-02-02-17.wav
Neutral,Datasets\ESD\0014\Neutral\0014_000149.wav
Neutral,Datasets\CREMA-D\1053_ITH_NEU_XX.wav
Surprise,Datasets\ESD\0017\Surprise\0017_001486.wav
Surprise,Datasets\ESD\0012\Surprise\0012_001414.wav
Surprise,Datasets\TESS\YAF_pleasant_surprised\YAF_chat_ps.wav
Neutral,Datasets\CREMA-D\1066_IWW_NEU_XX.wav
Happiness,Datasets\CREMA-D\1033_IWW_HAP_XX.wav
Surprise,Datasets\ESD\0012\Surprise\0012_001442.wav
Surprise,Datasets\ASVP\ASVP5\03-01-08-02-11-68-02-02-02.wav
Surprise,Datasets\ASVP\ASVP5\03-01-08-01-01-56-02-02-02-18.wav
Sadness,Datasets\CREMA-D\1080_IWL_SAD_XX.wav
Sadness,Datasets\RAVDESS\Actor_21\03-01-04-02-01-02-21.wav
Surprise,Datasets\ESD\0013\Surprise\0013_001470.wav
Happiness,Datasets\ESD\0019\Happy\0019_000872.wav
Surprise,Datasets\ESD\0016\Surprise\0016_001401.wav
Sadness,Datasets\ESD\0013\Sad\0013_001274.wav
Surprise,Datasets\ESD\0014\Surprise\0014_001607.wav
Surprise,Datasets\TESS\OAF_Pleasant_surprise\OAF_make_ps.wav
Anger,Datasets\ESD\0020\Angry\0020_000477.wav
Disgust,Datasets\ASVP\ASVP3\03-01-07-01-02-102-02-02-02-02.wav
Neutral,Datasets\RAVDESS\Actor_23\03-01-02-02-02-01-23.wav
Anger,Datasets\CREMA-D\1024_IEO_ANG_LO.wav
Surprise,Datasets\ESD\0011\Surprise\0011_001669.wav
Happiness,Datasets\ESD\0017\Happy\0017_000936.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000193.wav
Happiness,Datasets\ESD\0012\Happy\0012_000899.wav
Anger,Datasets\JL\male2_angry_15b_1.wav
Surprise,Datasets\ESD\0014\Surprise\0014_001498.wav
Happiness,Datasets\CREMA-D\1077_IEO_HAP_MD.wav
Anger,Datasets\JL\female2_angry_14a_1.wav
Sadness,Datasets\ESD\0014\Sad\0014_001259.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000332.wav
Surprise,Datasets\TESS\OAF_Pleasant_surprise\OAF_young_ps.wav
Anger,Datasets\ESD\0016\Angry\0016_000382.wav
Anger,Datasets\ESD\0019\Angry\0019_000679.wav
Happiness,Datasets\ESD\0019\Happy\0019_000751.wav
Neutral,Datasets\CREMA-D\1058_IWL_NEU_XX.wav
Anger,Datasets\ESD\0013\Angry\0013_000463.wav
Disgust,Datasets\RAVDESS\Actor_05\03-01-07-02-02-01-05.wav
Sadness,Datasets\ESD\0019\Sad\0019_001067.wav
Disgust,Datasets\CREMA-D\1044_DFA_DIS_XX.wav
Surprise,Datasets\TESS\OAF_Pleasant_surprise\OAF_chair_ps.wav
Sadness,Datasets\TESS\OAF_Sad\OAF_match_sad.wav
Anger,Datasets\TESS\OAF_angry\OAF_home_angry.wav
Happiness,Datasets\ESD\0018\Happy\0018_000911.wav
Anger,Datasets\ESD\0018\Angry\0018_000396.wav
Happiness,Datasets\ESD\0019\Happy\0019_000846.wav
Happiness,Datasets\ESD\0018\Happy\0018_000817.wav
Fear,Datasets\RAVDESS-SONG\Actor_08\03-02-06-01-02-02-08.wav
Anger,Datasets\ESD\0019\Angry\0019_000440.wav
Anger,Datasets\ESD\0020\Angry\0020_000353.wav
Surprise,Datasets\ESD\0011\Surprise\0011_001680.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000025.wav
Happiness,Datasets\CREMA-D\1086_IWL_HAP_XX.wav
Fear,Datasets\RAVDESS\Actor_23\03-01-06-02-01-02-23.wav
Neutral,Datasets\ESD\0020\Neutral\0020_000215.wav
Neutral,Datasets\SAVEE\JK\n14.wav
Neutral,Datasets\ESD\0011\Neutral\0011_000121.wav
Happiness,Datasets\JL\male2_happy_10b_1.wav
Surprise,Datasets\ESD\0019\Surprise\0019_001584.wav
Anger,Datasets\ESD\0011\Angry\0011_000603.wav
Anger,Datasets\CREMA-D\1012_WSI_ANG_XX.wav
Anger,Datasets\ESD\0020\Angry\0020_000673.wav
Happiness,Datasets\CREMA-D\1085_WSI_HAP_XX.wav
Neutral,Datasets\RAVDESS\Actor_04\03-01-02-01-01-02-04.wav
Happiness,Datasets\CREMA-D\1018_DFA_HAP_XX.wav
Sadness,Datasets\ESD\0012\Sad\0012_001207.wav
Neutral,Datasets\ESD\0019\Neutral\0019_000274.wav
Anger,Datasets\RAVDESS-SONG\Actor_22\03-02-05-02-01-02-22.wav
Neutral,Datasets\ESD\0016\Neutral\0016_000326.wav
Sadness,Datasets\ESD\0020\Sad\0020_001131.wav
Sadness,Datasets\ESD\0013\Sad\0013_001075.wav
Happiness,Datasets\TESS\OAF_happy\OAF_ripe_happy.wav
Sadness,Datasets\ESD\0018\Sad\0018_001111.wav
Happiness,Datasets\RAVDESS-SONG\Actor_19\03-02-03-01-01-02-19.wav
Surprise,Datasets\ESD\0020\Surprise\0020_001734.wav
Neutral,Datasets\ESD\0014\Neutral\0014_000054.wav
Surprise,Datasets\ESD\0017\Surprise\0017_001412.wav
Sadness,Datasets\ESD\0015\Sad\0015_001268.wav
Anger,Datasets\ESD\0020\Angry\0020_000473.wav
Sadness,Datasets\TESS\YAF_sad\YAF_size_sad.wav
Anger,Datasets\ESD\0016\Angry\0016_000423.wav
Sadness,Datasets\CREMA-D\1002_DFA_SAD_XX.wav
Neutral,Datasets\CREMA-D\1017_TAI_NEU_XX.wav
Neutral,Datasets\CREMA-D\1082_IEO_NEU_XX.wav
Sadness,Datasets\RAVDESS\Actor_19\03-01-04-01-02-02-19.wav
Happiness,Datasets\ASVP\ASVP3\03-01-03-01-01-102-02-02-02.wav
Happiness,Datasets\JL\male2_happy_10b_2.wav
Anger,Datasets\TESS\OAF_angry\OAF_dip_angry.wav
Surprise,Datasets\ESD\0012\Surprise\0012_001543.wav
Happiness,Datasets\ESD\0018\Happy\0018_000929.wav
Sadness,Datasets\JL\male1_sad_3a_1.wav
Sadness,Datasets\ESD\0018\Sad\0018_001186.wav
Happiness,Datasets\ESD\0015\Happy\0015_000793.wav
Neutral,Datasets\ESD\0011\Neutral\0011_000033.wav
Sadness,Datasets\ESD\0015\Sad\0015_001374.wav
Disgust,Datasets\CREMA-D\1051_IWW_DIS_XX.wav
Surprise,Datasets\ESD\0011\Surprise\0011_001476.wav
Neutral,Datasets\ESD\0016\Neutral\0016_000081.wav
Anger,Datasets\CREMA-D\1025_IEO_ANG_HI.wav
Surprise,Datasets\ESD\0016\Surprise\0016_001413.wav
Neutral,Datasets\CREMA-D\1056_DFA_NEU_XX.wav
Happiness,Datasets\ESD\0011\Happy\0011_000937.wav
Anger,Datasets\TESS\OAF_angry\OAF_love_angry.wav
Surprise,Datasets\ESD\0012\Surprise\0012_001426.wav
Happiness,Datasets\ESD\0012\Happy\0012_000873.wav
Surprise,Datasets\ESD\0012\Surprise\0012_001516.wav
Sadness,Datasets\ESD\0011\Sad\0011_001126.wav
Happiness,Datasets\ESD\0018\Happy\0018_000759.wav
Anger,Datasets\ESD\0020\Angry\0020_000447.wav
Anger,Datasets\ESD\0016\Angry\0016_000484.wav
Neutral,Datasets\JL\male1_neutral_14a_2.wav
Sadness,Datasets\CREMA-D\1014_IOM_SAD_XX.wav
Neutral,Datasets\CREMA-D\1026_DFA_NEU_XX.wav
Anger,Datasets\ESD\0012\Angry\0012_000470.wav
Disgust,Datasets\RAVDESS\Actor_06\03-01-07-01-02-02-06.wav
Fear,Datasets\CREMA-D\1015_ITS_FEA_XX.wav
Neutral,Datasets\ESD\0019\Neutral\0019_000091.wav
Happiness,Datasets\ESD\0019\Happy\0019_000966.wav
Happiness,Datasets\ESD\0018\Happy\0018_000931.wav
Anger,Datasets\CREMA-D\1056_IWW_ANG_XX.wav
Sadness,Datasets\ESD\0018\Sad\0018_001308.wav
Sadness,Datasets\ESD\0016\Sad\0016_001344.wav
Sadness,Datasets\ESD\0013\Sad\0013_001272.wav
Sadness,Datasets\CREMA-D\1052_IOM_SAD_XX.wav
Neutral,Datasets\ESD\0016\Neutral\0016_000207.wav
Surprise,Datasets\TESS\OAF_Pleasant_surprise\OAF_doll_ps.wav
Surprise,Datasets\ESD\0017\Surprise\0017_001487.wav
Neutral,Datasets\ESD\0012\Neutral\0012_000018.wav
Surprise,Datasets\ESD\0013\Surprise\0013_001672.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000007.wav
Surprise,Datasets\ESD\0015\Surprise\0015_001650.wav
Neutral,Datasets\ESD\0019\Neutral\0019_000137.wav
Neutral,Datasets\ESD\0011\Neutral\0011_000302.wav
Neutral,Datasets\JL\male1_neutral_7b_1.wav
Happiness,Datasets\ESD\0013\Happy\0013_000956.wav
Surprise,Datasets\ESD\0015\Surprise\0015_001665.wav
Sadness,Datasets\ESD\0014\Sad\0014_001358.wav
Surprise,Datasets\ESD\0015\Surprise\0015_001719.wav
Neutral,Datasets\ESD\0014\Neutral\0014_000263.wav
Anger,Datasets\CREMA-D\1057_IWL_ANG_XX.wav
Anger,Datasets\ESD\0020\Angry\0020_000451.wav
Sadness,Datasets\JL\male2_sad_14b_1.wav
Anger,Datasets\CREMA-D\1057_TIE_ANG_XX.wav
Happiness,Datasets\CREMA-D\1012_IEO_HAP_MD.wav
Happiness,Datasets\CREMA-D\1020_TIE_HAP_XX.wav
Happiness,Datasets\ESD\0013\Happy\0013_000824.wav
Neutral,Datasets\RAVDESS\Actor_11\03-01-01-01-01-02-11.wav
Anger,Datasets\ESD\0020\Angry\0020_000458.wav
Sadness,Datasets\ESD\0016\Sad\0016_001096.wav
Neutral,Datasets\RAVDESS\Actor_12\03-01-01-01-01-01-12.wav
Disgust,Datasets\CREMA-D\1031_IEO_DIS_LO.wav
Disgust,Datasets\TESS\OAF_disgust\OAF_door_disgust.wav
Neutral,Datasets\TESS\OAF_neutral\OAF_yes_neutral.wav
Neutral,Datasets\TESS\OAF_neutral\OAF_haze_neutral.wav
Fear,Datasets\RAVDESS\Actor_04\03-01-06-02-02-01-04.wav
Neutral,Datasets\ESD\0020\Neutral\0020_000084.wav
Fear,Datasets\TESS\YAF_fear\YAF_kick_fear.wav
Neutral,Datasets\CREMA-D\1038_WSI_NEU_XX.wav
Fear,Datasets\RAVDESS\Actor_20\03-01-06-02-02-02-20.wav
Disgust,Datasets\CREMA-D\1067_IEO_DIS_MD.wav
Anger,Datasets\ESD\0014\Angry\0014_000546.wav
Happiness,Datasets\ESD\0017\Happy\0017_000707.wav
Happiness,Datasets\ESD\0012\Happy\0012_000876.wav
Disgust,Datasets\TESS\YAF_disgust\YAF_note_disgust.wav
Fear,Datasets\CREMA-D\1029_IEO_FEA_HI.wav
Disgust,Datasets\CREMA-D\1034_ITH_DIS_XX.wav
Neutral,Datasets\ASVP\ASVP5\03-01-02-01-19-80-02-02-02-11.wav
Happiness,Datasets\CREMA-D\1014_TSI_HAP_XX.wav
Surprise,Datasets\ESD\0011\Surprise\0011_001553.wav
Anger,Datasets\ESD\0016\Angry\0016_000611.wav
Disgust,Datasets\CREMA-D\1047_TAI_DIS_XX.wav
Happiness,Datasets\ESD\0016\Happy\0016_000937.wav
Neutral,Datasets\ASVP\ASVP5\03-01-02-01-01-109-02-02-02-66.wav
Happiness,Datasets\ESD\0012\Happy\0012_000771.wav
Disgust,Datasets\CREMA-D\1074_TSI_DIS_XX.wav
Anger,Datasets\ESD\0019\Angry\0019_000352.wav
Sadness,Datasets\ESD\0012\Sad\0012_001392.wav
Anger,Datasets\ESD\0011\Angry\0011_000657.wav
Happiness,Datasets\ESD\0016\Happy\0016_000773.wav
Neutral,Datasets\ESD\0016\Neutral\0016_000047.wav
Happiness,Datasets\ESD\0016\Happy\0016_000742.wav
Anger,Datasets\ESD\0019\Angry\0019_000627.wav
Happiness,Datasets\CREMA-D\1005_ITS_HAP_XX.wav
Sadness,Datasets\ESD\0018\Sad\0018_001101.wav
Neutral,Datasets\ESD\0012\Neutral\0012_000169.wav
Happiness,Datasets\ESD\0017\Happy\0017_000842.wav
Sadness,Datasets\ESD\0011\Sad\0011_001106.wav
Sadness,Datasets\JL\male2_sad_8a_2.wav
Neutral,Datasets\ESD\0020\Neutral\0020_000298.wav
Surprise,Datasets\ESD\0014\Surprise\0014_001702.wav
Anger,Datasets\CREMA-D\1076_MTI_ANG_XX.wav
Surprise,Datasets\ESD\0020\Surprise\0020_001425.wav
Happiness,Datasets\ESD\0012\Happy\0012_000884.wav
Happiness,Datasets\CREMA-D\1088_MTI_HAP_XX.wav
Anger,Datasets\CREMA-D\1064_TAI_ANG_XX.wav
Sadness,Datasets\ESD\0014\Sad\0014_001313.wav
Neutral,Datasets\ESD\0017\Neutral\0017_000089.wav
Anger,Datasets\RAVDESS\Actor_09\03-01-05-02-02-02-09.wav
Happiness,Datasets\ESD\0019\Happy\0019_000843.wav
Surprise,Datasets\ESD\0013\Surprise\0013_001708.wav
Surprise,Datasets\ESD\0017\Surprise\0017_001567.wav
Sadness,Datasets\ESD\0013\Sad\0013_001122.wav
Neutral,Datasets\ESD\0020\Neutral\0020_000264.wav
Disgust,Datasets\CREMA-D\1003_IEO_DIS_LO.wav
Anger,Datasets\ESD\0012\Angry\0012_000686.wav
Surprise,Datasets\ESD\0015\Surprise\0015_001748.wav
Happiness,Datasets\CREMA-D\1021_IWL_HAP_XX.wav
Anger,Datasets\CREMA-D\1049_DFA_ANG_XX.wav
Disgust,Datasets\CREMA-D\1035_WSI_DIS_XX.wav
Anger,Datasets\ESD\0015\Angry\0015_000681.wav
Sadness,Datasets\ESD\0020\Sad\0020_001356.wav
Sadness,Datasets\ESD\0016\Sad\0016_001157.wav
Sadness,Datasets\CREMA-D\1043_IEO_SAD_MD.wav
Sadness,Datasets\ESD\0012\Sad\0012_001115.wav
Anger,Datasets\ESD\0018\Angry\0018_000482.wav
Anger,Datasets\CREMA-D\1053_ITS_ANG_XX.wav
Happiness,Datasets\ESD\0014\Happy\0014_000817.wav
Neutral,Datasets\CREMA-D\1015_ITS_NEU_XX.wav
Surprise,Datasets\ESD\0018\Surprise\0018_001692.wav
Sadness,Datasets\ESD\0014\Sad\0014_001356.wav
Surprise,Datasets\ESD\0016\Surprise\0016_001554.wav
Neutral,Datasets\JL\female2_neutral_10a_1.wav
Fear,Datasets\CREMA-D\1085_WSI_FEA_XX.wav
Happiness,Datasets\ESD\0018\Happy\0018_000737.wav
Happiness,Datasets\ESD\0019\Happy\0019_000742.wav
Neutral,Datasets\ESD\0019\Neutral\0019_000148.wav
Neutral,Datasets\CREMA-D\1058_ITS_NEU_XX.wav
Surprise,Datasets\ESD\0017\Surprise\0017_001729.wav
Disgust,Datasets\RAVDESS\Actor_04\03-01-07-01-02-02-04.wav
Sadness,Datasets\ESD\0016\Sad\0016_001262.wav
Happiness,Datasets\ESD\0017\Happy\0017_000860.wav
Anger,Datasets\ESD\0015\Angry\0015_000384.wav
Happiness,Datasets\ESD\0019\Happy\0019_000944.wav
Neutral,Datasets\ESD\0012\Neutral\0012_000254.wav
Surprise,Datasets\ESD\0016\Surprise\0016_001485.wav
Surprise,Datasets\ESD\0015\Surprise\0015_001562.wav
Sadness,Datasets\ESD\0013\Sad\0013_001374.wav
Anger,Datasets\ESD\0013\Angry\0013_000430.wav
Neutral,Datasets\ESD\0017\Neutral\0017_000035.wav
Sadness,Datasets\JL\male2_sad_10a_1.wav
Sadness,Datasets\ESD\0012\Sad\0012_001156.wav
Neutral,Datasets\ASVP\ASVP5\03-01-02-02-33-28-02-02-02-01.wav
Anger,Datasets\CREMA-D\1085_IEO_ANG_MD.wav
Neutral,Datasets\CREMA-D\1041_TIE_NEU_XX.wav
Anger,Datasets\ESD\0020\Angry\0020_000427.wav
Neutral,Datasets\ESD\0017\Neutral\0017_000313.wav
Sadness,Datasets\RAVDESS\Actor_06\03-01-04-01-02-01-06.wav
Fear,Datasets\CREMA-D\1061_DFA_FEA_XX.wav
Neutral,Datasets\ESD\0017\Neutral\0017_000009.wav
Surprise,Datasets\ESD\0017\Surprise\0017_001733.wav
Happiness,Datasets\ESD\0019\Happy\0019_000814.wav
Anger,Datasets\ESD\0012\Angry\0012_000426.wav
Surprise,Datasets\SAVEE\KL\su07.wav
Surprise,Datasets\ESD\0018\Surprise\0018_001640.wav
Surprise,Datasets\TESS\OAF_Pleasant_surprise\OAF_long_ps.wav
Anger,Datasets\CREMA-D\1046_TSI_ANG_XX.wav
Fear,Datasets\ASVP\ASVP5\03-01-06-02-32-57-02-02-02-02.wav
Neutral,Datasets\CREMA-D\1022_IOM_NEU_XX.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000192.wav
Sadness,Datasets\CREMA-D\1028_ITS_SAD_XX.wav
Sadness,Datasets\ESD\0015\Sad\0015_001267.wav
Anger,Datasets\ESD\0013\Angry\0013_000611.wav
Happiness,Datasets\ESD\0020\Happy\0020_000867.wav
Happiness,Datasets\CREMA-D\1006_TIE_HAP_XX.wav
Disgust,Datasets\CREMA-D\1059_ITS_DIS_XX.wav
Happiness,Datasets\TESS\OAF_happy\OAF_gas_happy.wav
Fear,Datasets\CREMA-D\1054_IWL_FEA_XX.wav
Happiness,Datasets\CREMA-D\1058_WSI_HAP_XX.wav
Anger,Datasets\JL\female2_angry_2b_2.wav
Neutral,Datasets\ESD\0019\Neutral\0019_000102.wav
Neutral,Datasets\ESD\0017\Neutral\0017_000050.wav
Anger,Datasets\CREMA-D\1079_TAI_ANG_XX.wav
Disgust,Datasets\TESS\OAF_disgust\OAF_soap_disgust.wav
Sadness,Datasets\ESD\0012\Sad\0012_001277.wav
Anger,Datasets\ESD\0020\Angry\0020_000700.wav
Surprise,Datasets\ESD\0018\Surprise\0018_001725.wav
Happiness,Datasets\ESD\0012\Happy\0012_001015.wav
Surprise,Datasets\ESD\0016\Surprise\0016_001737.wav
Happiness,Datasets\ESD\0014\Happy\0014_000707.wav
Neutral,Datasets\ESD\0017\Neutral\0017_000274.wav
Disgust,Datasets\CREMA-D\1011_IEO_DIS_MD.wav
Surprise,Datasets\ESD\0018\Surprise\0018_001500.wav
Anger,Datasets\ESD\0019\Angry\0019_000385.wav
Fear,Datasets\TESS\OAF_Fear\OAF_mill_fear.wav
Anger,Datasets\ESD\0014\Angry\0014_000493.wav
Neutral,Datasets\ESD\0011\Neutral\0011_000190.wav
Anger,Datasets\ESD\0011\Angry\0011_000476.wav
Happiness,Datasets\RAVDESS\Actor_16\03-01-03-01-01-02-16.wav
Sadness,Datasets\CREMA-D\1066_ITS_SAD_XX.wav
Neutral,Datasets\TESS\YAF_neutral\YAF_soap_neutral.wav
Neutral,Datasets\ESD\0020\Neutral\0020_000159.wav
Surprise,Datasets\ESD\0011\Surprise\0011_001701.wav
Neutral,Datasets\ESD\0014\Neutral\0014_000277.wav
Sadness,Datasets\ESD\0014\Sad\0014_001332.wav
Disgust,Datasets\RAVDESS\Actor_11\03-01-07-02-02-01-11.wav
Fear,Datasets\CREMA-D\1023_TIE_FEA_XX.wav
Disgust,Datasets\TESS\YAF_disgust\YAF_kite_disgust.wav
Surprise,Datasets\ASVP\ASVP3\03-01-08-01-12-101-02-01-00-18.wav
Happiness,Datasets\RAVDESS\Actor_09\03-01-03-02-02-02-09.wav
Happiness,Datasets\ESD\0011\Happy\0011_000853.wav
Happiness,Datasets\CREMA-D\1016_TSI_HAP_XX.wav
Neutral,Datasets\RAVDESS-SONG\Actor_09\03-02-02-02-01-02-09.wav
Anger,Datasets\ESD\0015\Angry\0015_000623.wav
Anger,Datasets\CREMA-D\1004_WSI_ANG_XX.wav
Neutral,Datasets\TESS\YAF_neutral\YAF_which_neutral.wav
Fear,Datasets\CREMA-D\1050_WSI_FEA_XX.wav
Happiness,Datasets\CREMA-D\1059_TIE_HAP_XX.wav
Happiness,Datasets\CREMA-D\1015_MTI_HAP_XX.wav
Sadness,Datasets\CREMA-D\1042_TIE_SAD_XX.wav
Sadness,Datasets\ESD\0013\Sad\0013_001091.wav
Happiness,Datasets\ESD\0020\Happy\0020_001047.wav
Sadness,Datasets\ESD\0011\Sad\0011_001293.wav
Happiness,Datasets\ASVP\ASVP5\03-01-03-01-02-60-02-02-02.wav
Neutral,Datasets\ASVP\ASVP5\03-01-02-02-27-54-02-02-02-01.wav
Happiness,Datasets\TESS\YAF_happy\YAF_keep_happy.wav
Sadness,Datasets\TESS\YAF_sad\YAF_numb_sad.wav
Neutral,Datasets\ESD\0015\Neutral\0015_000318.wav
Happiness,Datasets\ESD\0016\Happy\0016_000817.wav
Anger,Datasets\CREMA-D\1024_ITH_ANG_XX.wav
Happiness,Datasets\JL\female1_happy_8b_2.wav
Neutral,Datasets\ESD\0011\Neutral\0011_000339.wav
Anger,Datasets\ESD\0012\Angry\0012_000409.wav
Disgust,Datasets\CREMA-D\1016_TSI_DIS_XX.wav
Surprise,Datasets\ESD\0016\Surprise\0016_001474.wav
Sadness,Datasets\ESD\0019\Sad\0019_001099.wav
Neutral,Datasets\CREMA-D\1054_ITS_NEU_XX.wav
Disgust,Datasets\CREMA-D\1054_TAI_DIS_XX.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000035.wav
Disgust,Datasets\CREMA-D\1042_IEO_DIS_HI.wav
Disgust,Datasets\CREMA-D\1075_ITH_DIS_XX.wav
Surprise,Datasets\ESD\0016\Surprise\0016_001450.wav
Surprise,Datasets\ESD\0020\Surprise\0020_001531.wav
Fear,Datasets\RAVDESS-SONG\Actor_13\03-02-06-01-02-02-13.wav
Disgust,Datasets\RAVDESS\Actor_18\03-01-07-01-02-01-18.wav
Anger,Datasets\ESD\0016\Angry\0016_000498.wav
Happiness,Datasets\ESD\0019\Happy\0019_001041.wav
Happiness,Datasets\CREMA-D\1068_IWW_HAP_XX.wav
Disgust,Datasets\TESS\OAF_disgust\OAF_hurl_disgust.wav
Sadness,Datasets\ESD\0020\Sad\0020_001372.wav
Fear,Datasets\TESS\OAF_Fear\OAF_witch_fear.wav
Surprise,Datasets\ESD\0013\Surprise\0013_001478.wav
Sadness,Datasets\ESD\0011\Sad\0011_001326.wav
Happiness,Datasets\CREMA-D\1048_WSI_HAP_XX.wav
Surprise,Datasets\ASVP\ASVP5\03-01-08-01-68-53-02-02-02.wav
Neutral,Datasets\ESD\0015\Neutral\0015_000166.wav
Fear,Datasets\CREMA-D\1033_IEO_FEA_MD.wav
Surprise,Datasets\ESD\0018\Surprise\0018_001595.wav
Anger,Datasets\ESD\0013\Angry\0013_000482.wav
Happiness,Datasets\RAVDESS-SONG\Actor_22\03-02-03-01-01-01-22.wav
Sadness,Datasets\ESD\0015\Sad\0015_001366.wav
Surprise,Datasets\ESD\0016\Surprise\0016_001727.wav
Surprise,Datasets\TESS\YAF_pleasant_surprised\YAF_rot_ps.wav
Sadness,Datasets\CREMA-D\1036_ITH_SAD_XX.wav
Disgust,Datasets\CREMA-D\1023_TAI_DIS_XX.wav
Happiness,Datasets\ESD\0016\Happy\0016_000954.wav
Fear,Datasets\CREMA-D\1039_WSI_FEA_XX.wav
Disgust,Datasets\CREMA-D\1040_IOM_DIS_XX.wav
Sadness,Datasets\ESD\0018\Sad\0018_001223.wav
Sadness,Datasets\ESD\0020\Sad\0020_001378.wav
Neutral,Datasets\ASVP\ASVP5\03-01-02-02-15-46-02-02-02-25-12.wav
Happiness,Datasets\ESD\0013\Happy\0013_000999.wav
Anger,Datasets\ESD\0013\Angry\0013_000529.wav
Sadness,Datasets\RAVDESS-SONG\Actor_10\03-02-04-02-02-02-10.wav
Surprise,Datasets\RAVDESS\Actor_16\03-01-08-02-02-01-16.wav
Neutral,Datasets\RAVDESS\Actor_14\03-01-01-01-02-02-14.wav
Sadness,Datasets\CREMA-D\1018_IWL_SAD_XX.wav
Sadness,Datasets\ESD\0012\Sad\0012_001246.wav
Happiness,Datasets\ESD\0020\Happy\0020_000758.wav
Happiness,Datasets\CREMA-D\1030_TAI_HAP_XX.wav
Anger,Datasets\ESD\0011\Angry\0011_000523.wav
Anger,Datasets\RAVDESS\Actor_20\03-01-05-02-02-01-20.wav
Surprise,Datasets\TESS\YAF_pleasant_surprised\YAF_name_ps.wav
Surprise,Datasets\ESD\0020\Surprise\0020_001514.wav
Fear,Datasets\CREMA-D\1046_ITH_FEA_XX.wav
Happiness,Datasets\ESD\0019\Happy\0019_000963.wav
Sadness,Datasets\ESD\0012\Sad\0012_001132.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000186.wav
Surprise,Datasets\ESD\0016\Surprise\0016_001645.wav
Anger,Datasets\ASVP\ASVP4\03-01-05-01-05-103-02-01-02.wav
Neutral,Datasets\ESD\0018\Neutral\0018_000237.wav
Happiness,Datasets\ESD\0019\Happy\0019_000750.wav
Surprise,Datasets\ESD\0019\Surprise\0019_001425.wav
Sadness,Datasets\ESD\0016\Sad\0016_001286.wav
Neutral,Datasets\ESD\0014\Neutral\0014_000276.wav
Surprise,Datasets\ASVP\ASVP5\03-01-08-01-84-51-02-02-02.wav
Sadness,Datasets\JL\female2_sad_15b_1.wav
Happiness,Datasets\ESD\0012\Happy\0012_000850.wav
Neutral,Datasets\ESD\0015\Neutral\0015_000278.wav
Disgust,Datasets\CREMA-D\1069_TIE_DIS_XX.wav
Happiness,Datasets\ESD\0011\Happy\0011_000766.wav
Sadness,Datasets\ASVP\ASVP5\03-01-04-01-87-64-02-02-02.wav
Surprise,Datasets\TESS\YAF_pleasant_surprised\YAF_goose_ps.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000266.wav
Surprise,Datasets\ESD\0015\Surprise\0015_001657.wav
Sadness,Datasets\TESS\YAF_sad\YAF_cab_sad.wav
Anger,Datasets\ESD\0017\Angry\0017_000434.wav
Happiness,Datasets\CREMA-D\1003_TSI_HAP_XX.wav
Happiness,Datasets\ESD\0015\Happy\0015_000933.wav
Surprise,Datasets\ESD\0013\Surprise\0013_001647.wav
Sadness,Datasets\CREMA-D\1001_IEO_SAD_LO.wav
Anger,Datasets\TESS\OAF_angry\OAF_sheep_angry.wav
Neutral,Datasets\JL\female2_neutral_15b_1.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000175.wav
Happiness,Datasets\ESD\0019\Happy\0019_001006.wav
Surprise,Datasets\ESD\0011\Surprise\0011_001573.wav
Disgust,Datasets\CREMA-D\1084_TAI_DIS_XX.wav
Sadness,Datasets\ESD\0018\Sad\0018_001182.wav
Fear,Datasets\CREMA-D\1063_TSI_FEA_XX.wav
Anger,Datasets\JL\male1_angry_15b_1.wav
Happiness,Datasets\ESD\0017\Happy\0017_000898.wav
Happiness,Datasets\JL\female1_happy_5b_1.wav
Happiness,Datasets\ESD\0016\Happy\0016_000735.wav
Disgust,Datasets\RAVDESS\Actor_03\03-01-07-01-02-02-03.wav
Anger,Datasets\ESD\0014\Angry\0014_000673.wav
Anger,Datasets\ESD\0018\Angry\0018_000691.wav
Happiness,Datasets\ESD\0016\Happy\0016_000701.wav
Disgust,Datasets\CREMA-D\1090_DFA_DIS_XX.wav
Anger,Datasets\JL\female1_angry_15b_2.wav
Anger,Datasets\ESD\0013\Angry\0013_000527.wav
Anger,Datasets\CREMA-D\1020_IWL_ANG_XX.wav
Disgust,Datasets\CREMA-D\1006_IOM_DIS_XX.wav
